,psraid,int_date,area,tz,cregion,state,fips,msa,usr,usr1,strata,lang,sample,form,samptype,spouse,qs1,qs2,qs3a,qs3b,sex,marital,m2,m3,m4,lwp2,lwp3,kids,k2,k3,mom,dad,e3,q1,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q3,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q4h,q4i,q6,q7f1,q8f2,q11,q12,q14,q15a,q15b,q15c,q15d,q15e,q15f,q15g,q15h,q15i,q16,q17,q20,q20vb,q20_1,q20_2,q20_3,q23,q23vb,q23_1,q23_2,q23_3,q24,q27,q28,q29,q30f1,q31f2,q32,q33,q34,q35,q36,q36vb,q36_1,q36_2,q36_3,q37,q38,q39,q40,q41,q41vb,q41_1,q41_2,q41_3,q42,q43,q44f1,q45,q46f2,q47,net1,net2,e1,e2,ideal,e5,fam1,fam2,fam3,fam4,k4,k5,ownrent,citizen,usborn1a,usborn1b,usborn2,age,educ,hisp,race,relig,chr,born,attend,income,regist,regicert,party,partyln,ideo,pvote04a,milnow,veteran,contact,name,website,usbrn1bo,raceos,religos,q2cnt,recage2,recage3,q3new,gen,netsum,milvet,military,density3,rbcounty,receduc,racethn,weight
1089,2028,22807,517,e,2,26,26075,27100,S,2,1,1,6,2,2,NA,1,NA,NA,NA,1,2,1,2,1,NA,NA,2,1,NA,1,1,3,2,NA,10,10,NA,NA,10,10,8,8,3,2,9,2,2,2,2,1,1,1,2,NA,1,2,2,2,1,3,2,2,3,1,1,2,2,9,2,1,"CUZ IT WAS MY FIRSZT ONE, RIGH THING TO DO IT WAS MY FIRST ONE, AND IT WAS THE RIGHT THING TO DO.",14,NA,NA,1,WE DIDN''T. WE DIDN''T.,98,NA,NA,2,NA,2,2,NA,99,2,2,1,2,1,"DISCIPLINE, MAKING TGHEM BE ACCOUNTABLE FOR WHT THEY DO DISCIPLING, MAKING THEM ACCOUNTABLE FOR WHAT THEY DO.",27,NA,NA,8,9,2,1,1,IT GOES BACK TO THE KIDS NOT BEING ACCOUNTABLE TO WHAT THEY''RE DOING. KIDS DICONNECTED IT GOES BACK TO THE KIDS NOT BEING ACCOUNTABLE TO WHAT THEY''RE DOING. KIDS BEING DISCONNECTED.,20,NA,NA,3,3,NA,3,2,2,1,2,3,3,1,NA,1,1,2,1,12,1,1,1,1,NA,2,41,5,2,1,8,NA,NA,4,3,1,1,3,9,3,1,7,7,1,1,2,                                ,                                ,                                ,4,2,1,3,2,1,2,99,2,4,3,1,6.0625
1090,2032,22807,702,p,4,32,32003,29820,U,1,4,1,5,2,2,1,1,NA,NA,NA,1,1,NA,1,1,1,1,2,2,NA,9,1,1,1,9,NA,10,NA,8,NA,9,8,10,3,1,2,1,3,2,3,1,1,1,2,NA,2,1,2,1,1,3,3,1,3,3,1,2,2,2,2,1,PERSONALLY I FELT BETTER GETTING MARRIED,14,NA,NA,1,"CIRCUMSTANCES, FANANCIAL SITUATION, AND WE WERE COMFORTABLE WITH EACH OTHER AS WELL",98,11,26,2,NA,NA,NA,NA,25,2,2,3,2,1,"KEEPING THEM OUT OF TROUBLE; EXPLAINING THE FACTS OF LIFE, DRUGS, ON-LINE PEDIFILES, EDUCATION--BASICALLY ALL THE THINGS WE DIDN''T HAVE TO DEAL WITH; KEEPING THEM OUT OF GANGS, THINGS LIKE THAT",33,29,28,8,1,2,1,1,"WELL, I''D SAY PEER PRESSURE, THE BOYFRIENDS, THE GIRLFRIENDS PRESSURING THEM; AND SOMETIMES THE PARENTS DON''T TAKE RESPONSIBILITY FOR TELLING THEM",98,25,NA,4,3,NA,2,1,2,2,2,3,3,1,3,3,2,NA,NA,12,1,2,1,1,NA,1,42,3,2,1,1,NA,2,3,3,1,1,2,NA,4,2,7,7,1,1,1,                                ,                                ,                                ,4,2,1,3,3,2,2,99,2,4,2,1,1.1875
1091,2033,22807,559,p,4,6,6107,47300,S,2,5,1,3,1,1,1,NA,NA,NA,NA,1,1,NA,1,1,2,NA,3,NA,2,1,1,3,2,10,NA,NA,9,NA,8,8,7,9,1,3,3,3,3,3,3,3,3,3,2,1,NA,4,4,1,1,1,3,1,3,1,1,3,1,2,2,1,BECAUSE I LOVED MY WIFE AND COMIT TO HER,16,10,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,21,NA,2,2,2,2,1,KEEP THM OFF DRUGS,29,NA,NA,7,3,2,3,1,ALOT OF WOMENT WHO WANT TO  HAVE CHILDREN BUT NT GET MARRIED   ALOT OF MISTAKES BUT DONT WANT TO MRRY THE GUY,12,15,NA,4,4,2,2,NA,1,1,1,1,3,2,3,1,2,NA,1,NA,NA,1,1,1,NA,1,59,5,2,1,1,NA,2,5,8,1,1,2,NA,3,1,7,1,2,NA,1,                                ,                                ,                                ,3,3,2,1,3,1,1,2,1,5,3,1,1.75
1092,2034,22807,718,e,1,36,36005,35620,U,1,5,1,2,2,1,NA,NA,NA,NA,NA,2,3,NA,2,NA,2,NA,3,NA,1,1,9,3,2,NA,NA,NA,10,NA,10,NA,10,9,99,2,2,3,2,2,1,9,1,2,1,NA,9,3,2,1,1,2,3,3,3,1,3,2,3,2,2,1,"BECAUSE I BELIEVE IN IT, LIVED TOGETHER FOR MONTHS AND HAD THOSE FEELINGS THAT GREW, BELIEVE IN MARRIAGE",14,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,30,3,2,1,1,1,INTERNET,36,NA,NA,8,2,2,1,1,"NO ROLES OR GOALS FOR RELATIONSHIPS, THINK OF PEOPLE AS GOLD",98,NA,NA,4,2,NA,9,2,2,1,1,3,3,1,NA,2,2,NA,1,NA,NA,1,1,2,9,2,52,5,2,2,1,NA,9,4,10,1,1,3,9,9,2,7,7,2,NA,1,                                ,                                ,                                ,4,3,2,99,1,1,2,99,5,1,3,2,2.3125
1093,2040,22807,323,p,4,6,6037,31100,S,2,1,1,1,2,1,NA,NA,NA,NA,NA,1,3,NA,2,NA,1,NA,3,NA,2,2,2,3,3,NA,NA,NA,10,NA,NA,NA,5,10,4,2,3,3,3,3,3,3,3,3,2,NA,1,2,3,1,1,2,2,2,1,2,3,1,2,2,2,1,"YOU HAVE TO GET MARRIED, WE NEVER CONSIDERED LIVING TOGETHER",15,NA,NA,1,JUST BECAUSE,17,NA,NA,2,NA,NA,NA,NA,30,2,2,2,2,1,PEER PRESSURE,32,NA,NA,7,3,3,2,1,BECAUSE WOMEN ARE WORKING TOO MUCH,31,NA,NA,3,4,NA,9,2,9,1,1,1,3,3,NA,2,2,NA,1,NA,NA,2,1,1,NA,1,73,5,2,1,9,2,NA,6,2,1,1,2,NA,3,1,7,1,1,1,1,                                ,                                ,                                ,2,4,2,4,3,1,1,2,5,1,3,1,10
1094,2041,22807,605,m,2,46,46041,0,R,3,1,1,2,1,1,2,NA,NA,NA,NA,2,1,NA,2,NA,2,NA,2,1,NA,1,1,2,1,10,NA,10,NA,10,10,10,8,9,3,1,3,3,2,2,3,3,1,2,1,9,NA,1,2,1,1,2,2,1,2,1,2,1,2,2,2,1,THATS WHAT MY RELIGION STATED-WE WANTED TOO-WE WERE YOUNG-WE KNEW WE WANTED TO LIVE TOGETHER,13,25,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,25,NA,3,1,1,2,1, TRYING TO DO THE RIGHT THING-NOT TOO MUCH TV-TEACHING THEM THEIR ABC''S-TV THERES SO MUCH EASY TO LET THEM WATCH TV,33,NA,NA,9,2,2,1,1,VALUES OF THE PERSON,18,NA,NA,3,4,2,3,NA,3,1,1,3,3,2,1,1,1,2,3,1,2,1,1,1,NA,1,25,5,2,4,2,NA,2,2,5,1,1,1,NA,2,1,7,7,1,1,1,                                ,NATIVE AMERICAN,                                ,6,1,1,3,3,1,2,99,1,2,3,4,19.13
1095,2043,22807,928,z,4,4,4009,0,R,3,4,1,3,1,1,1,NA,NA,NA,NA,1,1,NA,2,NA,2,NA,2,1,NA,1,1,1,1,10,NA,10,NA,6,9,9,5,5,1,2,2,2,2,2,2,2,2,2,1,2,NA,1,1,1,1,2,1,2,2,1,1,2,2,1,1,1,CAUSE ITS THE RTIGHT THING TO DO-RELIGIOUS AND MORAL ISSUES,14,13,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,2,1,"MEDIA AWARENESS, THE LACK OF MORALS TAUGHT FOR THE MOST PART",36,11,NA,8,3,3,1,1,LACK OF MORALS AND ETHICAL VALUES SUCH AS MARRIAGE,18,NA,NA,1,1,4,4,NA,3,1,1,3,3,1,3,1,1,2,1,0,1,1,1,1,NA,1,41,6,2,1,4,NA,2,1,6,1,1,1,NA,2,1,7,7,2,NA,2,                                ,                                ,                                ,4,2,1,1,3,1,2,99,1,5,4,1,1.5625
1096,2046,22807,928,z,4,4,4009,0,R,3,4,1,2,2,1,NA,NA,NA,NA,NA,1,2,1,1,1,NA,NA,1,NA,NA,2,2,3,1,NA,8,NA,NA,NA,NA,NA,6,8,NA,2,2,2,2,2,1,2,1,1,2,NA,1,1,1,4,1,1,3,2,3,1,1,3,1,1,2,9,                                ,99,NA,NA,1,FINANCIAL REASONS,11,NA,NA,2,NA,1,1,NA,22,2,1,2,2,1,GENERAL PROBLEMS IN SOCIETY,34,NA,NA,NA,3,3,1,1,BECAUSE KIDS ARE NOT GETTING THE SUPPORT THAT THEY NEED,25,NA,NA,4,1,NA,9,1,4,1,1,1,3,3,NA,1,1,2,3,NA,NA,2,1,1,NA,1,63,5,2,1,9,1,1,4,2,1,1,4,2,3,2,7,1,2,NA,2,                                ,                                ,                                ,0,3,2,10,3,1,1,2,1,5,3,1,1.3125
1097,2047,22807,928,z,4,4,4007,0,R,3,5,1,2,1,1,NA,NA,NA,NA,NA,1,3,NA,1,NA,1,NA,4,1,2,1,1,1,1,NA,NA,8,0,10,8,4,8,8,NA,3,3,3,3,3,3,2,1,3,2,9,NA,4,4,1,1,1,3,1,3,2,1,2,3,2,2,1,PREGNANT,18,NA,NA,1,CONVIENCE,17,NA,NA,2,NA,NA,NA,25,NA,2,2,3,3,1,DRUGS,29,NA,NA,8,3,1,1,1,MORALS,18,NA,NA,4,1,3,4,NA,1,1,1,3,2,1,NA,1,1,1,1,13,NA,2,1,1,NA,1,48,5,1,1,2,NA,2,4,5,1,1,2,NA,2,2,7,7,2,NA,2,                                ,                                ,                                ,1,2,1,5,3,1,2,99,1,4,3,3,1.4375
1098,2048,22807,310,p,4,6,6037,31100,U,1,2,1,2,2,1,1,NA,NA,NA,NA,1,1,NA,2,NA,2,NA,2,1,NA,1,1,1,1,8,NA,10,NA,5,9,5,6,7,3,2,1,1,2,2,2,2,1,2,1,NA,1,2,2,2,2,1,1,1,2,1,2,1,2,2,1,1,BECAUSE I WAS MADLY PASSISIONATE IN LOVE,16,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,35,2,2,2,2,1,THE CHANGEING SOCIETY NORMS CHANGEING CULTURAL,34,35,NA,9,3,3,1,1,CHANGEING SOCITY NORM,17,NA,NA,4,2,NA,4,2,2,1,1,3,3,1,1,2,5,NA,1,5,2,1,1,1,NA,1,37,7,2,2,1,NA,1,3,9,1,1,3,9,3,1,7,7,1,1,1,                                ,                                ,                                ,2,2,1,3,3,1,2,99,5,1,4,2,11.4375
1099,2049,22807,541,p,4,41,41015,0,R,3,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,2,NA,2,NA,3,NA,2,2,2,1,1,10,NA,NA,10,10,NA,NA,10,10,1,2,3,3,2,2,2,1,3,2,1,1,NA,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,IT WASN''T THE THING TO DO (LIVING TOGETHER WITH OUT BEING MARRIED),12,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,99,NA,2,2,2,2,1,DRUGS,29,NA,NA,8,3,3,1,1,MORAL VALUES,18,NA,NA,1,1,4,4,NA,3,1,1,3,3,3,3,1,1,2,3,NA,NA,1,1,1,NA,1,62,7,2,1,1,NA,1,1,6,1,1,1,NA,2,1,7,1,2,NA,1,                                ,                                ,                                ,5,3,2,1,3,1,1,2,1,5,4,1,8.3125
1100,2052,30107,843,e,3,45,45069,0,R,3,6,1,6,2,2,NA,3,1,1,NA,1,6,NA,NA,NA,2,NA,1,NA,NA,1,1,1,2,NA,NA,NA,NA,6,8,6,8,8,NA,3,2,3,3,2,2,3,1,2,1,NA,1,1,1,2,1,2,3,1,3,2,2,3,2,9,2,NA,                                ,NA,NA,NA,NA,                                ,NA,NA,NA,NA,1,NA,1,NA,32,1,2,1,2,1,BOUNCE IN ECOMONIC PRESSURE SOCIAL COMPATIBLITY,13,98,NA,NA,3,2,1,1,LACK OF EDUCATION,23,NA,NA,4,3,NA,4,3,3,1,1,3,3,1,NA,1,1,2,1,NA,NA,3,1,1,NA,1,43,6,2,1,1,NA,1,3,4,1,1,3,2,2,1,7,7,2,NA,2,                                ,                                ,                                ,0,2,1,10,3,1,2,99,1,1,4,1,1
1101,2053,30107,347,e,1,36,36061,35620,U,1,7,1,6,1,2,1,1,NA,NA,NA,1,1,NA,2,NA,2,NA,2,1,NA,2,2,3,1,10,NA,10,NA,NA,NA,NA,10,7,99,3,2,3,2,2,1,1,9,2,1,2,NA,1,1,9,1,9,1,1,1,1,9,1,9,1,1,1,RELIGION WOULDN''T ALLOW IT,13,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,99,NA,9,2,2,2,9,,99,NA,NA,99,3,2,1,9,                                ,99,NA,NA,1,1,9,4,NA,4,1,2,3,3,1,3,1,1,2,3,0,2,2,2,2,91,2,37,9,2,2,9,2,NA,9,2,2,NA,3,9,9,2,7,7,2,NA,1,GUNIE,                                ,                                ,3,2,1,99,1,1,2,99,5,1,NA,2,1
1102,2054,30107,410,e,3,24,24510,12580,U,1,6,1,5,2,2,2,1,NA,NA,NA,2,1,NA,2,NA,2,NA,4,1,2,2,2,1,1,10,NA,10,10,10,NA,NA,10,9,1,1,3,3,3,3,3,3,3,3,1,NA,2,3,3,1,1,1,1,1,3,1,3,9,2,2,9,1,I DONT BELIEVE IN LIVING TOGETHER,15,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,25,2,2,2,2,1,DISIPLINE,27,NA,NA,9,1,1,1,1,SEX IS BIG TO PEOPLE UNPROTECTES SEX,11,20,NA,3,3,NA,9,9,9,2,2,3,2,1,1,1,1,2,3,13,NA,1,1,1,NA,1,45,5,2,2,1,NA,2,3,6,1,1,2,NA,3,1,7,2,1,1,2,                                ,                                ,                                ,6,2,1,1,3,2,1,3,5,1,3,2,1.0625
1103,2055,30107,804,e,3,51,51760,40060,U,1,6,1,1,1,1,2,NA,NA,NA,NA,2,1,NA,2,NA,2,NA,1,NA,NA,2,2,1,2,10,NA,NA,NA,7,NA,NA,9,8,1,3,3,3,3,3,2,3,1,2,1,1,NA,2,2,1,1,1,1,2,3,1,2,1,2,1,2,1,RELIGIOS BELIEFS,13,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,25,NA,2,2,2,2,1,LIKE OF FEAR,98,NA,NA,NA,2,1,2,1,NOT IN LOVE WITH PERSON THEY HV A CHILD WITH,36,NA,NA,1,3,2,3,NA,2,1,1,3,3,2,1,2,5,NA,1,NA,NA,1,1,1,NA,1,38,7,2,2,1,NA,2,1,5,1,1,2,NA,2,1,7,2,2,NA,1,                                ,                                ,                                ,2,2,1,1,3,1,1,3,5,1,4,2,2.1875
1104,2060,30107,812,e,2,18,18061,31140,S,2,1,1,2,2,1,NA,NA,NA,NA,NA,2,6,NA,NA,NA,1,NA,4,2,1,2,2,3,2,NA,NA,10,10,NA,NA,NA,10,6,3,3,3,3,3,3,3,1,1,3,2,NA,1,3,3,1,1,1,2,1,3,1,1,3,2,2,2,NA,                                ,NA,NA,NA,1,YOUNG STUPID,14,NA,NA,1,2,NA,2,NA,28,9,2,3,2,1,KEEPING OUT OF TROUBLE KEEPING THEM IN SCHOOL,33,14,NA,7,2,2,1,1,THEY ARE JUST VERY YOUNG...,20,NA,NA,4,3,NA,2,2,2,2,2,3,3,1,NA,4,1,2,NA,10,1,1,1,1,NA,1,45,2,2,1,2,NA,2,5,3,1,1,3,2,4,2,7,7,1,1,2,                                ,                                ,                                ,3,2,1,3,3,2,2,99,1,4,1,1,9
1105,2062,30107,870,c,3,5,5103,0,R,3,3,1,5,2,2,2,1,NA,NA,NA,2,1,NA,2,NA,2,NA,2,1,NA,1,1,1,1,10,NA,10,NA,5,5,99,99,5,99,9,3,2,2,2,2,3,3,2,1,NA,1,1,1,9,1,3,1,1,3,1,1,1,3,1,2,1,THE BIBLE TELLU TO NOT DO IT,13,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,30,2,2,2,2,1,GETTING KIDS THREW SCHOOL....,14,NA,NA,10,9,9,1,1,THE PARENTING TEACHING THEM VALUES,18,NA,NA,2,2,NA,4,4,3,1,2,3,3,1,1,2,2,NA,2,13,NA,1,1,1,NA,1,35,2,2,1,1,NA,9,2,3,2,NA,2,NA,3,2,7,7,1,1,2,                                ,                                ,                                ,2,2,1,99,3,1,2,99,1,2,1,1,1.9375
1106,2064,30107,605,c,2,46,46091,0,R,3,1,1,3,2,1,NA,NA,NA,NA,NA,2,5,NA,1,1,2,NA,3,NA,2,2,2,1,1,NA,NA,NA,10,10,NA,NA,5,5,4,3,9,3,3,3,2,3,3,3,2,NA,1,3,4,9,1,2,3,2,9,2,1,9,2,2,2,1,U DID NOT LIVE TOGETHER WHEN WE GOT MARRIED,12,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,99,3,2,3,3,1,TAKING CARE OF THEM TEACHING THEM RIGHT,11,NA,NA,10,9,9,1,1,LACK OF TRAING AND MORALS,18,NA,NA,9,4,NA,4,4,2,2,2,3,3,1,NA,1,1,2,3,NA,NA,1,1,1,NA,1,70,5,2,1,1,NA,2,3,4,2,NA,9,9,3,2,7,7,2,NA,2,                                ,                                ,                                ,2,4,2,4,3,2,2,99,1,4,3,1,5.375
1107,2065,30207,314,c,2,29,29510,41180,U,1,6,1,5,1,1,2,2,1,1,NA,2,1,NA,2,NA,2,NA,2,1,NA,2,2,1,1,10,NA,10,NA,10,NA,NA,10,10,99,1,2,3,1,3,3,2,1,2,1,1,NA,1,2,1,1,1,1,1,2,1,1,3,3,9,3,1,OUR BELIEFS WAS TO GET MARRIED. ITS THE RIGHT THING TO DO IF WE LOVE EACH OTHER,14,16,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,21,NA,2,1,1,2,9,                                ,99,NA,NA,10,9,9,3,1,FEMALES ARE HAVING BABIES BECAUSE THEY DONT WONT TO BE ALONE.,34,NA,NA,4,4,3,3,NA,4,1,1,3,3,1,1,1,1,2,2,12,1,1,1,1,NA,1,51,3,2,2,1,NA,2,3,4,1,1,2,NA,1,1,7,7,1,1,1,                                ,                                ,                                ,5,3,2,99,3,1,2,99,5,1,2,2,3
1108,2066,30107,317,e,2,18,18097,26900,U,1,3,1,5,2,2,1,1,NA,NA,NA,1,1,NA,2,NA,1,2,3,NA,1,1,2,1,3,10,NA,NA,9,7,8,NA,8,6,99,3,3,9,9,3,3,1,1,3,1,NA,1,2,2,3,1,3,2,1,3,1,1,9,2,2,3,1,FOR CHILDREN,24,NA,NA,9,                                ,99,NA,NA,2,NA,NA,NA,NA,25,1,2,2,2,1,GIVING THEM AN EDUCATION,14,NA,NA,9,2,2,1,9,                                ,99,NA,NA,4,4,NA,2,1,2,1,1,3,3,2,1,3,4,NA,NA,NA,NA,1,1,1,NA,1,46,7,2,1,1,NA,2,5,7,1,1,9,2,2,1,7,7,2,NA,2,                                ,                                ,                                ,2,2,1,99,3,1,2,99,5,3,4,1,1.75
1109,2067,30107,704,e,3,37,37045,0,R,3,2,1,6,1,2,2,1,NA,NA,NA,2,1,NA,1,1,2,NA,1,NA,NA,1,2,1,1,10,NA,NA,NA,8,10,NA,10,10,1,3,3,3,3,3,1,3,3,2,2,1,NA,9,3,1,1,2,3,9,3,2,1,3,3,2,2,1,RELIGIOS,13,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,25,NA,2,2,2,2,1,PEER PRESSURE,32,NA,NA,NA,3,1,1,1,BABIES ON WELFARE,28,NA,NA,3,4,2,4,NA,3,1,1,3,3,1,1,1,1,2,3,NA,NA,1,1,1,NA,1,45,2,2,1,1,NA,1,2,4,1,1,1,NA,4,1,7,7,2,NA,2,                                ,                                ,                                ,4,2,1,1,3,1,2,99,2,4,1,1,4
1110,2068,30107,718,e,1,36,36081,35620,U,1,4,1,1,2,1,1,NA,NA,NA,NA,1,1,NA,2,NA,2,NA,3,NA,2,1,2,3,9,10,NA,NA,10,NA,10,NA,10,9,99,3,3,1,3,1,1,1,3,3,1,NA,1,1,1,9,1,1,3,1,3,1,1,1,3,2,1,1,"YOU GET MARRIED , YOU LIVE TOGETHER ,",98,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,25,2,2,2,3,9,,99,NA,NA,10,9,3,1,1,NOBODY TO SUPPPORT THEM OR GIVE LOVE TO THEM,32,NA,NA,1,1,NA,9,3,9,2,2,1,3,3,3,4,1,2,NA,NA,NA,3,1,2,300,2,67,2,2,1,2,NA,9,2,3,1,1,9,9,2,1,7,7,9,NA,1,SOUTH AMERICA,                                ,                                ,5,4,2,99,1,2,2,99,5,1,1,1,4.875
1111,2069,30107,317,e,2,18,18097,26900,U,1,1,1,4,1,1,NA,NA,NA,NA,NA,1,6,NA,NA,NA,2,NA,1,NA,NA,1,1,2,2,NA,NA,NA,NA,7,8,8,7,8,NA,2,3,2,9,2,2,2,3,3,2,1,NA,2,2,1,1,3,1,1,3,1,1,1,1,1,2,NA,                                ,NA,NA,NA,NA,                                ,NA,NA,NA,NA,1,NA,1,24,NA,2,2,2,2,1,SOCIETY TODAY YOU CANT KEEP THEM FROM DOING THINGS,34,33,NA,NA,3,3,1,1,WOMEN HAVE MORE FREEDOM AND THEY WANT TO BE INDEPENDENT,12,NA,NA,3,3,2,4,NA,3,1,1,3,1,3,NA,1,1,2,2,NA,NA,3,1,2,7,2,19,5,2,4,9,1,9,2,7,1,1,1,NA,2,2,7,7,1,1,1,                                ,MIXED,,0,1,1,10,1,1,2,99,5,3,3,4,19.13
1112,2070,30107,802,e,1,50,50027,0,R,3,1,1,4,2,1,NA,NA,NA,NA,NA,1,6,NA,NA,NA,2,NA,1,NA,NA,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,9,8,NA,2,3,2,2,2,2,3,1,3,1,NA,1,2,2,1,1,2,2,3,2,2,2,2,2,2,2,NA,                                ,NA,NA,NA,NA,                                ,NA,NA,NA,NA,2,NA,2,NA,30,2,1,2,1,1,COHESIVE PHOLOSIPHY BETWEEN THE PARENTS,20,NA,NA,NA,3,1,1,1,LACK OF SOCIAL RESPOSSIBILITY..NOT TAKING ACCOUNT OF THEIR ACTIONS,22,NA,NA,3,2,NA,3,2,2,1,1,1,3,2,NA,1,1,2,3,NA,NA,1,1,1,NA,1,75,6,2,1,1,NA,2,5,3,1,1,1,NA,2,1,7,1,1,1,1,                                ,                                ,                                ,1,4,2,8,3,1,1,2,1,2,4,1,5.8125
1113,2073,30107,314,c,2,29,29510,41180,U,1,6,1,6,1,2,NA,1,NA,NA,NA,2,6,NA,NA,NA,2,NA,1,NA,NA,1,1,2,2,NA,NA,NA,NA,8,10,10,6,8,6,3,2,1,2,2,3,1,1,2,1,1,NA,2,2,2,1,2,2,2,2,2,2,3,1,2,1,NA,                                ,NA,NA,NA,NA,                                ,NA,NA,NA,NA,1,NA,1,25,NA,2,1,2,2,1,"OUTSIDE INFULENCE, PEOPLE TRYING TO TELL YOU WHAT TO DO WITHOUT A MARAGE THERE IS NO SUPPORT  FOR THE KIDS NO SENCE OF COMMUNITY WITHOUT A MARAGE",34,98,NA,NA,2,2,1,1,SEXUAL REVULOTION NO COMMITMENT,14,24,NA,3,2,3,3,NA,3,1,1,3,3,1,NA,1,1,2,1,NA,NA,2,1,1,NA,1,30,6,2,2,7,2,NA,3,2,1,1,3,2,2,1,7,7,1,1,1,                                ,                                ,BUDIST,2,2,1,6,3,1,2,99,5,1,4,2,1.5625
1114,2074,30107,314,c,2,29,29510,41180,U,1,6,1,6,2,2,NA,1,NA,NA,NA,1,6,NA,NA,NA,1,NA,2,1,NA,1,1,1,2,NA,NA,10,NA,7,8,7,9,7,3,1,3,2,2,2,3,3,3,3,1,NA,1,3,2,1,1,2,1,1,1,2,2,3,1,2,1,NA,                                ,NA,NA,NA,1,KINDA WAS A THING WHERE SHE DIDN''T WANT TO LIVE WITH HER PARENTS,98,NA,NA,1,1,NA,1,NA,26,2,2,3,3,1,FINANCIAL STIBILITY,13,NA,NA,8,1,1,1,1,NO IDEA,99,NA,NA,4,3,NA,3,3,4,1,1,3,3,1,NA,1,1,1,1,1,2,1,1,1,NA,1,23,5,2,2,1,NA,2,4,2,1,1,2,NA,3,1,7,7,1,1,1,                                ,                                ,                                ,2,1,1,3,3,1,2,99,5,1,3,2,1.3125
1115,2076,30107,608,c,2,55,55063,29100,U,1,1,1,3,2,1,NA,NA,NA,NA,NA,2,5,NA,2,NA,2,NA,1,NA,NA,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,10,10,99,9,3,1,9,9,3,3,1,2,9,NA,1,2,2,3,1,1,2,1,3,1,1,2,1,2,2,1,SOCIAL INVIROMENT,23,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,99,3,3,1,1,1,EDUCATION AND HEALTH,14,40,NA,NA,9,1,1,1,NO IDEA,99,NA,NA,9,9,NA,2,2,2,1,1,1,2,3,NA,1,1,2,3,NA,NA,1,1,1,NA,2,72,5,2,1,1,NA,2,1,5,1,1,3,2,3,1,7,7,1,1,2,                                ,                                ,                                ,2,4,2,99,2,1,2,99,2,2,3,1,5.1875
1116,2077,30107,409,c,3,48,48167,26420,U,1,7,1,2,1,1,NA,NA,NA,NA,NA,1,3,NA,2,NA,1,NA,3,NA,2,2,2,1,2,NA,NA,NA,10,8,NA,NA,5,9,99,2,1,1,9,9,3,3,1,3,1,1,NA,9,3,1,1,9,3,1,3,1,1,3,1,2,2,1,YOUNG AN ALL MY FRIENDS WERE GETTING MARRIED,25,NA,NA,1,WE HAD COMMOM INTERESTS AND GOALS,26,NA,NA,2,NA,NA,NA,99,NA,2,2,2,2,1,BROAD RANGE OF IDEAS TRAVEL EXTENSIVE TO GET INTO TROUBLE DURING PARENTS WRKING SCHEDULE,98,NA,NA,4,2,2,1,1,HAVE TO WORK 4 A LIVING CAN NOT SPEND ENOUGH TIMES WITH CHILDREN ..NOT PROPER GUIDANCE,31,25,NA,4,3,2,2,NA,2,1,1,3,3,1,NA,1,5,NA,1,NA,NA,2,1,1,NA,1,54,5,9,9,1,NA,2,9,4,1,1,3,9,4,1,7,7,1,1,1,                                ,                                ,                                ,2,3,2,99,3,1,2,99,3,4,3,NA,1.625
1117,2078,30307,504,c,3,22,22071,35380,U,1,3,1,1,2,1,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,2,1,NA,1,2,3,9,NA,5,5,NA,NA,10,NA,99,99,NA,1,9,1,1,2,1,1,1,1,1,NA,1,2,1,9,1,1,1,1,1,1,1,1,1,9,1,NA,                                ,NA,NA,NA,1,ATTITUDE,98,NA,NA,2,NA,1,3,NA,25,3,3,2,3,1,MONEY,13,NA,NA,10,1,1,1,1,LESS  FATHERS,13,NA,NA,4,4,NA,3,3,9,2,2,3,3,1,NA,1,1,2,1,0,2,3,1,1,NA,1,32,2,2,2,1,NA,1,3,10,1,1,9,9,4,2,7,7,2,NA,2,                                ,                                ,                                ,1,2,1,6,3,2,2,99,5,1,1,2,7.0625
